,Facility.Name,Facility.City,Facility.State Name,Facility.State Abbreviation,Rating.Effectiveness,Procedure.Hip Knee.Cost,Rating.Mortality,Rating.Overall,Procedure.Heart Failure.Value,Rating.Timeliness,Rating.Experience,Procedure.Hip Knee.Quality,Procedure.Heart Attack.Quality,Procedure.Heart Failure.Quality,Procedure.Hip Knee.Value,Procedure.Pneumonia.Quality,Rating.Imaging,Facility.Type,Rating.Safety,Rating.Readmission,Procedure.Heart Attack.Value,Procedure.Pneumonia.Value,Procedure.Pneumonia.Cost,Procedure.Heart Attack.Cost,Procedure.Heart Failure.Cost
335,Brandon Regional Hospital,Brandon,Florida,FL,Same,22952,,2,Higher,Same,Below,Average,Average,Average,Average,Average,Above,Proprietary,Below,Below,Average,Higher,18521,23102,17728
336,Cape Coral Hospital,Cape Coral,Florida,FL,Same,23480,Same,3,Average,Below,Below,Average,Average,Average,Higher,Average,Above,Government,Above,Below,Average,Average,17648,25696,16660
337,Lawnwood Regional Medical Center & Heart Institute,Fort Pierce,Florida,FL,Same,26745,Same,1,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Higher,20181,23979,17243
338,Largo Medical Center,Largo,Florida,FL,Above,23050,Same,1,Higher,Above,Below,Average,Average,Average,Average,Worse,Same,Proprietary,Below,Below,Average,Higher,19722,24946,18489
339,Bayfront Health Seven Rivers,Crystal River,Florida,FL,Same,23435,Below,1,Higher,Below,Below,Average,Average,Average,Higher,Worse,Same,Proprietary,Below,Above,Average,Average,17291,23873,18072
340,Raulerson Hospital,Okeechobee,Florida,FL,Same,25036,Same,2,Average,Above,Below,Average,Average,Average,Higher,Worse,Same,Proprietary,Above,Below,Average,Average,17764,23893,16585
341,Jupiter Medical Center,Jupiter,Florida,FL,Same,23087,Above,5,Higher,Below,Above,Average,Average,Average,Higher,Average,Below,Private,Above,Above,Average,Average,17001,23477,19639
342,Capital Regional Medical Center,Tallahassee,Florida,FL,Same,21601,Same,2,Average,Same,Below,Average,Average,Average,Average,Average,Above,Proprietary,Above,Below,Average,Average,17557,23999,16220
343,Regional Medical Center Bayonet Point,Hudson,Florida,FL,Same,23058,Below,2,Average,Above,Below,Average,Average,Worse,Higher,Average,Same,Proprietary,Above,Below,Lower,Higher,18915,21670,17676
344,Delray Medical Center,Delray Beach,Florida,FL,Same,24500,Same,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Above,Proprietary,Same,Above,Higher,Higher,18842,25823,19707
345,South Bay Hospital,Sun City Center,Florida,FL,Same,22799,Same,2,Average,Above,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Average,Average,18031,25175,16877
346,St Lucie Medical Center,Port Saint Lucie,Florida,FL,Same,24124,Below,1,Average,Same,Below,Average,Average,Average,Higher,Average,Above,Proprietary,Below,Below,Average,Average,18286,24860,17128
347,Mease Countryside Hospital,Safety Harbor,Florida,FL,Same,22896,Below,3,Higher,Below,Above,Average,Average,Worse,Average,Worse,Below,Private,Below,Above,Average,Higher,18326,23151,18461
348,Englewood Community Hospital,Englewood,Florida,FL,Same,23332,Same,3,Average,Above,Same,Average,Average,Average,Average,Average,Below,Proprietary,Above,Above,Average,Average,17698,23472,17024
349,West Boca Medical Center,Boca Raton,Florida,FL,Same,23539,Same,1,Higher,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Same,Below,Average,Average,16588,25205,19918
350,Wellington Regional Medical Center Llc,Wellington,Florida,FL,Same,24893,Below,1,Higher,Below,Below,Average,Average,Worse,Higher,Average,Above,Proprietary,Below,Below,Average,Average,18728,22549,18829
351,Memorial Hospital West,Pembroke Pines,Florida,FL,Same,23622,,3,Higher,Below,Above,Average,Average,Better,Higher,Better,Same,Government,Below,Below,Average,Average,17518,24075,18911
352,Memorial Hospital Miramar,Miramar,Florida,FL,Same,25749,Same,4,Average,Below,Above,Average,Average,Average,Higher,Average,Same,Government,Same,Above,Average,Average,16654,24986,18634
353,Physicians Regional Medical Center - Pine Ridge,Naples,Florida,FL,Above,18840,Same,2,Average,Above,Below,Better,Average,Average,Lower,Average,Same,Proprietary,Above,Below,Average,Lower,15648,23786,17328
354,Good Samaritan Medical Center,West Palm Beach,Florida,FL,Same,23829,Same,2,Higher,Same,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Same,Below,Average,Average,18114,24083,18245
355,Cleveland Clinic Hospital,Weston,Florida,FL,Same,19038,Same,1,Average,Below,Above,Average,Average,Average,Lower,Average,Below,Proprietary,Below,Below,Average,Average,17522,23177,17132
356,"Villages Regional Hospital, The",The Villages,Florida,FL,Same,24134,Below,1,Average,Below,Below,Average,Average,Worse,Higher,Worse,Above,Private,Above,Below,Average,Average,17638,24086,17148
357,Steward Melbourne Hospital,Melbourne,Florida,FL,Same,25101,Same,1,Higher,Same,Below,Average,Average,Average,Higher,Average,Below,Proprietary,Above,Below,Average,Average,17830,22994,19342
358,Lakewood Ranch Medical Center,Bradenton,Florida,FL,Same,21055,Same,3,Average,Above,Below,Average,Average,Average,Lower,Average,Same,Proprietary,Same,Above,Average,Average,17199,22292,17842
359,St Vincent's Medical Center Southside,Jacksonville,Florida,FL,Same,18977,Same,3,Average,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Average,Average,18252,23126,17193
360,Viera Hospital,Melbourne,Florida,FL,Same,19969,Same,5,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,17655,24339,16497
361,Palm Bay Hospital,Palm Bay,Florida,FL,Same,23046,Same,4,Higher,Same,Same,Average,Average,Average,Higher,Average,Same,Proprietary,Same,Same,Average,Average,17225,25449,18194
362,Florida Hospital Wesley Chapel,Wesley Chapel,Florida,FL,Above,19691,Same,4,Higher,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Same,Average,Higher,19111,25046,19551
363,St Vincents Medical Center - Clay County,Middleburg,Florida,FL,Same,23410,Same,5,Average,Same,Above,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Average,Average,18283,25783,16115
364,Hamilton Medical Center,Dalton,Georgia,GA,Above,22766,Same,4,Average,Same,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Lower,Lower,15255,21315,16637
365,Memorial Satilla Health,Waycross,Georgia,GA,Same,23733,Same,3,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Above,Same,Average,Average,16628,25000,17302
366,Northside Hospital Forsyth,Cumming,Georgia,GA,Same,17042,,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,16662,24122,15668
367,St Mary's Hospital,Athens,Georgia,GA,Same,21406,Below,3,Lower,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Lower,Average,17052,21535,15085
368,Phoebe Putney Memorial Hospital,Albany,Georgia,GA,Below,22494,Below,1,Lower,Below,Below,Average,Average,Average,Average,Worse,Same,Government,Above,Below,Average,Average,17361,24432,15012
369,Emory University Hospital,Atlanta,Georgia,GA,Same,18598,Above,3,Average,Below,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Higher,18715,23358,16462
370,Tanner Medical Center - Carrollton,Carrollton,Georgia,GA,Same,23487,Below,2,Average,Same,Above,Average,Average,Average,Higher,Worse,Same,Government,Below,Below,Average,Average,18303,25180,17687
371,Wellstar West Georgia Medical Center,Lagrange,Georgia,GA,Same,23023,Same,4,Average,Same,Below,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,17585,24259,16336
372,Piedmont Newton Hospital,Covington,Georgia,GA,Same,27418,Same,2,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Average,17287,23951,16786
373,Gordon Hospital,Calhoun,Georgia,GA,Same,22437,Same,5,Average,Same,Above,Average,Average,Average,Average,Average,Same,Church,Above,Above,Average,Average,16910,25201,15726
374,Southeast Georgia Health System- Brunswick Campus,Brunswick,Georgia,GA,Same,21252,Below,2,Lower,Below,Below,Average,Average,Average,Average,Average,Below,Government,Same,Below,Average,Lower,16174,22677,15517
375,"Northeast Georgia Medical Center, Inc",Gainesville,Georgia,GA,Same,18330,Same,3,Lower,Below,Below,Better,Average,Better,Lower,Average,Above,Government,Below,Below,Average,Average,17139,23437,15118
376,Cartersville Medical Center,Cartersville,Georgia,GA,Above,20254,Same,4,Lower,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Same,Average,Average,17842,24413,15167
377,Wellstar Spalding Regional Hospital,Griffin,Georgia,GA,Same,22817,Below,2,Lower,Below,Below,Average,Average,Average,Average,Average,Above,Proprietary,Above,Below,Lower,Average,16941,21715,15140
378,Wellstar Kennestone Hospital,Marietta,Georgia,GA,Same,18516,Same,3,Average,Below,Below,Average,Average,Better,Lower,Average,Same,Government,Same,Above,Average,Average,17000,24947,17044
379,John D Archbold Memorial Hospital,Thomasville,Georgia,GA,Same,23473,Same,3,Average,Below,Same,Average,Average,Average,Higher,Average,Below,Private,Same,Above,Average,Average,16987,22747,16221
380,St Joseph's Hospital - Savannah,Savannah,Georgia,GA,Same,17934,Same,2,Average,Below,Same,Average,Worse,Average,Lower,Average,Same,Private,Below,Below,Average,Lower,16192,23812,17045
381,"Piedmont Walton Hospital, Inc",Monroe,Georgia,GA,Same,22370,Same,1,Average,Same,Below,Average,Average,Average,Average,Average,Same,Proprietary,Below,Above,Average,Average,17695,22835,15286
382,Union General Hospital,Blairsville,Georgia,GA,Same,23580,Same,4,Lower,Same,Above,Average,Average,Average,Higher,Average,Same,Government,Above,Above,Average,Lower,15186,21933,13122
383,Floyd Medical Center,Rome,Georgia,GA,Same,22100,Same,4,Average,Same,Same,Average,Average,Average,Average,Average,Above,Government,Above,Above,Average,Average,18289,22441,17244
384,Houston Medical Center,Warner Robins,Georgia,GA,Same,23903,Above,3,Lower,Below,Below,Average,Average,Average,Higher,Average,Below,Private,Above,Below,Average,Average,17808,22419,15443
385,East Georgia Regional Medical Center,Statesboro,,GA,Same,26878,Below,2,Lower,Same,Below,Average,Average,Average,Higher,Worse,Below,Proprietary,Above,Below,Average,Average,16833,23998,14790
386,Dekalb Medical Center,Decatur,Georgia,GA,Below,22835,Below,1,Average,Below,Below,Average,Average,Worse,Higher,Average,Same,Private,Below,Below,Average,Lower,15878,22961,16049
387,Emory University Hospital Midtown,Atlanta,Georgia,GA,Below,23042,Above,3,Average,Below,Same,Average,Average,Better,Higher,Average,Same,Private,Below,Above,Average,Average,16300,23627,15749
388,"Saint Joseph's Hospital Of Atlanta, Inc",Atlanta,Georgia,GA,Below,17698,Above,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Average,Average,16846,23383,17314
389,Piedmont Hospital,Atlanta,Georgia,GA,Same,19609,Above,2,Average,Below,Same,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Average,Average,17439,23314,17302
390,Gwinnett Medical Center,Lawrenceville,Georgia,GA,Same,19726,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Government,Below,Above,Average,Lower,16537,23113,16370
391,Piedmont Rockdale Hospital,Conyers,Georgia,GA,Same,24732,Same,2,Lower,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Lower,16150,25537,15171
392,Tift Regional Medical Center,Tifton,Georgia,GA,Same,18974,Below,3,Lower,Below,Same,Average,Average,Worse,Lower,Average,Same,Government,Above,Above,Lower,Lower,15265,21630,14885
393,Colquitt Regional Medical Center,Moultrie,Georgia,GA,Same,21770,Same,2,Lower,Same,Same,Average,Average,Average,Average,Average,Same,Government,Same,Below,Average,Average,17580,23697,15045
394,"Medical Center, Navicent Health (the)",Macon,Georgia,GA,Same,23807,Below,3,Higher,Below,Below,Average,Average,Average,Higher,Average,Above,Government,Above,Above,Lower,Average,17257,21879,17599
395,Wellstar Atlanta Medical Center,Atlanta,Georgia,GA,Same,23989,Same,1,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Above,Below,Average,Higher,19847,24983,16974
396,South Georgia Medical Center,Valdosta,Georgia,GA,Below,21444,Same,4,Average,Below,Below,Average,Average,Average,Average,Average,Below,Government,Above,Above,Higher,Average,16536,26436,15917
397,Fairview Park Hospital,Dublin,Georgia,GA,Same,19896,Same,4,Average,Above,Same,Average,Average,Average,Lower,Average,Above,Proprietary,Above,Above,Average,Average,17444,23640,16215
398,Meadows Regional Medical Center,Vidalia,Georgia,GA,Same,23336,,3,Lower,Same,Same,Average,Average,Average,Average,Average,Below,Proprietary,Below,Above,Average,Average,16943,23426,14523
399,St Francis Hospital,Columbus,,GA,Same,23315,,3,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Above,Average,Average,17863,22844,16384
400,Northside Hospital,Atlanta,Georgia,GA,Same,18427,,4,Average,Same,Above,Average,Average,Average,Lower,Average,Below,Private,Below,Above,Average,Average,17620,22305,16670
401,Southern Regional Medical Center,Riverdale,Georgia,GA,Same,22803,Same,1,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Higher,19327,23413,15736
402,Redmond Regional Medical Center,Rome,Georgia,GA,Same,21447,Same,4,Lower,Above,Below,Average,Average,Average,Average,Average,Above,Proprietary,Above,Below,Lower,Average,17573,20578,14737
403,Doctors Hospital,Augusta,Georgia,GA,Same,21348,Same,2,Average,Above,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Average,Higher,18568,23505,15311
404,Wellstar Douglas Hospital,Douglasville,,GA,Same,20289,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Lower,Average,17486,20725,16680
405,Piedmont Henry Hospital,Stockbridge,Georgia,GA,Below,21092,Below,1,Average,Below,Below,Average,Average,Worse,Lower,Worse,Same,Government,Below,Below,Average,Higher,18701,23582,17129
406,Eastside Medical Center,Snellville,Georgia,GA,Same,22238,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Same,Average,Higher,18800,22578,17354
407,Wellstar North Fulton Hospital,Roswell,Georgia,GA,Same,21389,Same,1,Average,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Average,Average,18406,24540,16887
408,Piedmont Fayette Hospital,Fayetteville,Georgia,GA,Same,19777,Same,2,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Below,Below,Average,Higher,18639,24323,16354
409,"Piedmont Newnan Hospital, Inc",Newnan,Georgia,GA,Same,20719,Same,2,Lower,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Below,Same,Average,Higher,18555,22742,15074
410,Emory Johns Creek Hospital,Johns Creek,Georgia,GA,Same,20015,Above,4,Average,Below,Same,Average,Average,Better,Lower,Average,Above,Proprietary,Below,Above,Average,Lower,16053,22634,16030
411,The Queens Medical Center,Honolulu,,HI,Same,19597,Same,5,Lower,Below,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Lower,Average,17237,20433,15552
412,Hilo Medical Center,Hilo,Hawaii,HI,Above,18536,Same,4,Lower,Below,Same,Average,Average,Average,Lower,Average,Below,Government,Above,Above,Average,Lower,15878,22375,14741
413,Adventist Health Castle,Kailua,Hawaii,HI,Same,17861,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Same,Above,Lower,Average,16666,21435,16349
414,Kuakini Medical Center,Honolulu,Hawaii,HI,Same,27163,Same,3,Average,Same,Below,Average,Average,Average,Higher,Average,Same,Private,Same,Above,Average,Average,18377,23313,15907
415,Wilcox Memorial Hospital,Lihue,Hawaii,HI,Same,17658,Same,4,Lower,Same,Same,Average,Average,Average,Lower,Average,Same,Government,Above,Above,Average,Lower,15166,22825,13943
416,Straub Clinic And Hospital,Honolulu,Hawaii,HI,Same,19787,Same,5,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Proprietary,Above,Above,Lower,Average,18374,21057,15513
417,St Luke's Magic Valley Rmc,Twin Falls,Idaho,ID,Same,21294,Same,5,Average,Same,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,17527,24566,16452
418,St Joseph Regional Medical Center,Lewiston,Idaho,ID,Same,20113,Below,3,Lower,Above,Same,Average,Average,Worse,Lower,Worse,Same,Private,Below,Above,Average,Average,16750,21853,15235
419,St Luke's Regional Medical Center,Boise,Idaho,ID,Same,18213,Same,5,Lower,Same,Above,Better,Average,Average,Lower,Average,Same,Private,Above,Above,Lower,Average,17557,19680,14739
420,Saint Alphonsus Regional Medical Center,Boise,Idaho,ID,Above,18840,Same,4,Average,Same,Below,Average,Average,Average,Lower,Average,Above,Church,Above,Above,Average,Average,16735,22465,15712
421,Saint Alphonsus Medical Center - Nampa,Nampa,Idaho,ID,Same,18710,Same,4,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Lower,Average,17922,21219,15062
422,West Valley Medical Center,Caldwell,,ID,Same,20171,Same,4,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Proprietary,Above,Same,Average,Average,17223,22910,15917
423,Eastern Idaho Regional Medical Center,Idaho Falls,Idaho,ID,Same,22461,Below,4,Average,Above,Below,Average,Average,Average,Average,Average,Above,Proprietary,Above,Above,Average,Average,16915,23483,15543
424,Portneuf Medical Center,Pocatello,Idaho,ID,Same,20944,Same,4,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Proprietary,Above,Above,Average,Average,17766,24908,15548
425,Kootenai Health,Coeur D'alene,Idaho,ID,Same,20180,,4,Average,Same,Above,Better,Average,Worse,Lower,Average,Same,Government,Above,Above,Average,Average,16995,23444,17217
426,Alton Memorial Hospital,Alton,Illinois,IL,Below,19007,Below,1,Lower,Above,Same,Average,Average,Worse,Lower,Average,Same,Private,Below,Below,Average,Average,17180,23266,15206
427,Presence Saint Joseph Medical Center,Joliet,Illinois,IL,Below,23325,Same,1,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Church,Below,Below,Average,Higher,19600,24546,17894
428,Loyola Gottlieb Memorial Hospital,Melrose Park,Illinois,IL,Same,22795,Same,4,Higher,Same,Below,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,16879,24951,17986
429,Herrin Hospital,Herrin,Illinois,IL,Same,20235,Same,1,Average,Same,Same,Average,Average,Average,Lower,Average,Below,Private,Same,Below,Average,Lower,16377,25333,17064
430,Katherine Shaw Bethea Hospital,Dixon,Illinois,IL,Same,21441,Same,4,Average,Above,Above,Average,Average,Worse,Average,Average,Same,Private,Above,Above,Average,Lower,16065,23849,15802
431,Proctor Hospital,Peoria,,IL,Same,20250,Below,3,Average,Above,Below,Average,Average,Average,Lower,Worse,Same,Private,Above,Above,Average,Average,16534,21585,16330
432,Blessing Hospital,Quincy,Illinois,IL,Same,22189,Same,3,Lower,Same,Same,Average,Average,Average,Average,Average,Same,Private,Above,Same,Higher,Lower,15529,25711,15375
433,Copley Memorial Hospital,Aurora,Illinois,IL,Same,20882,,4,Average,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Above,Below,Average,Average,17500,24764,16808
434,Sherman Hospital,Elgin,Illinois,IL,Same,21708,Above,5,Higher,Above,Above,Average,Average,Average,Average,Better,Same,Private,Above,Above,Average,Average,17694,25573,17580
435,St Anthonys Memorial Hospital,Effingham,Illinois,IL,Same,19701,Same,3,Lower,Above,Above,Average,Average,Average,Lower,Worse,Same,Church,Below,Same,Average,Average,16842,22882,15205
436,Cgh Medical Center,Sterling,Illinois,IL,Same,22872,Same,4,Average,Above,Above,Average,Average,Average,Average,Average,Same,Government,Above,Below,Average,Lower,16041,25889,16126
437,Good Samaritan Regional Hlth Center,Mount Vernon,Illinois,IL,Same,27442,Same,2,Average,Same,Same,Average,Average,Average,Higher,Average,Below,Private,Below,Below,Higher,Average,17083,26012,15488
438,Osf Saint Anthony's Health Center,Alton,Illinois,IL,Same,23363,,3,Average,Same,Same,Average,Average,Average,Average,Average,Same,Church,Above,Above,Average,Average,16469,23960,16960
439,St Johns Hospital,Springfield,Illinois,IL,Same,19854,Below,3,Higher,Below,Same,Average,Average,Worse,Lower,Average,Same,Church,Above,Above,Average,Average,18184,23661,17722
440,Macneal  Hospital,Berwyn,Illinois,IL,Same,24365,Same,2,Average,Below,Below,Average,Average,Average,Higher,Worse,Same,Proprietary,Below,Same,Higher,Higher,18616,26174,17712
441,Palos Community Hospital,Palos Heights,Illinois,IL,Same,21977,Above,4,Average,Same,Same,Average,Average,Better,Average,Better,Above,Private,Below,Below,Average,Average,17449,24264,16978
442,Rush Oak Park Hospital,Oak Park,Illinois,IL,Same,23105,Above,4,Lower,Above,Same,Average,Average,Average,Average,Average,Same,Church,Above,Same,Average,Average,17442,22747,15271
443,St Mary Medical Center,Galesburg,Illinois,IL,Same,23489,Below,3,Average,Same,Above,Average,Average,Average,Average,Worse,Same,Church,Above,Same,Average,Average,18127,23444,16356
444,Adventist La Grange Memorial Hospital,La Grange,Illinois,IL,Same,25001,,4,Average,Above,Above,Average,Average,Average,Higher,Average,Same,Church,Above,Same,Average,Higher,18548,23367,17458
445,Saint Francis Medical Center,Peoria,Illinois,IL,Same,19238,Below,2,Average,Below,Same,Average,Average,Average,Lower,Worse,Above,Church,Below,Below,Lower,Higher,19108,21801,16041
446,Presence Saint Francis Hospital,Evanston,Illinois,IL,Same,29137,Same,2,Higher,Same,Below,Average,Average,Average,Higher,Average,Same,Church,Below,Below,Average,Higher,19283,25236,18226
447,Louis A Weiss Memorial Hospital,Chicago,Illinois,IL,Same,25358,Same,1,Average,Above,Below,Worse,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Higher,21006,24544,17376
448,The University Of Chicago Medical Center,Chicago,Illinois,IL,Same,22780,Same,2,Higher,Below,Same,Average,Average,Average,Average,Average,Same,Private,Below,Below,Higher,Higher,19282,26819,17857
449,The Carle Foundation Hospital,Urbana,Illinois,IL,Above,21016,Same,3,Average,Same,Above,Average,Average,Average,Lower,Better,Same,Private,Above,Below,Average,Average,17301,23687,16978
450,Osf Sacred Heart Medical Center,Danville,Illinois,IL,Same,23574,Above,2,Average,Same,Below,Average,Average,Average,Average,Average,Same,Church,Same,Below,Average,Average,18475,23437,15982
451,Morris Hospital & Healthcare Centers,Morris,Illinois,IL,Same,20559,Below,3,Average,Above,Above,Average,Average,Average,Lower,Worse,Same,Private,Above,Below,Average,Higher,18773,25423,17319
452,Osf Heart Of Mary Medical Center,Urbana,Illinois,IL,Same,19979,Same,2,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Church,Above,Below,Average,Average,17602,22836,16266
453,Swedish Covenant Hospital,Chicago,,IL,Same,23975,Above,3,Higher,Same,Below,Average,Average,Average,Higher,Average,Below,Church,Below,Below,Average,Average,18356,24285,18103
454,Presence Resurrection Medical Center,Chicago,Illinois,IL,Same,26536,Above,3,Higher,Above,Below,Average,Better,Average,Higher,Average,Same,Church,Above,Below,Higher,Higher,20325,27242,21122
455,Metrosouth Medical Center,Blue Island,Illinois,IL,Same,24246,Same,2,Lower,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Same,Below,Average,Average,18239,24426,15220
456,Rush University Medical Center,Chicago,,IL,Same,20367,Above,4,Average,Below,Above,Average,Average,Better,Lower,Better,Same,Private,Above,Below,Average,Lower,15905,24162,17412
457,Pekin Memorial Hospital,Pekin,Illinois,IL,Same,21362,Same,3,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Lower,15133,23510,15329
458,Adventist Hinsdale Hospital,Hinsdale,Illinois,IL,Same,21803,Above,5,Higher,Same,Above,Average,Average,Average,Average,Average,Below,Private,Above,Above,Average,Average,17406,22963,18200
459,Gateway Regional Medical Center,Granite City,Illinois,IL,Same,19698,Same,2,Average,Above,Same,Average,Average,Average,Lower,Average,Below,Proprietary,Same,Below,Average,Average,16722,24256,16598
460,Advocate Bromenn Medical Center,Normal,Illinois,IL,Same,19027,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Below,Above,Average,Average,18517,21730,16470
461,Holy Cross Hospital,Chicago,Illinois,IL,Same,29284,Same,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Higher,20008,24184,18236
462,Memorial Medical Center,Springfield,Illinois,IL,Same,19978,Below,2,Average,Below,Above,Average,Average,Worse,Lower,Worse,Above,Private,Below,Below,Average,Average,17761,23636,16351
463,University Of Illinois Hospital,Chicago,Illinois,IL,Same,20668,Same,1,Average,Below,Same,Average,Average,Average,Average,Average,Same,Government,Below,Below,Average,Average,17162,23050,16186
464,Presence St Marys Hospital,Kankakee,Illinois,IL,Same,20685,Same,2,Average,Same,Same,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Average,Average,16462,23017,17991
465,Mercy Hospital And Medical Center,Chicago,Illinois,IL,Same,23103,Above,1,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Average,17680,22765,15962
466,Fhn Memorial Hospital,Freeport,Illinois,IL,Same,20666,Same,3,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Average,Lower,16067,23207,15407
467,St Joseph Medical Center,Bloomington,Illinois,IL,Same,20098,Same,4,Lower,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Average,Average,16444,22324,14863
468,Memorial Hospital Of Carbondale,Carbondale,Illinois,IL,Same,21226,Same,1,Average,Same,Same,Average,Average,Average,Average,Average,Below,Private,Same,Below,Average,Average,17494,24606,17434
469,St Marys Hospital,Decatur,Illinois,IL,Same,19931,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Lower,Average,18100,20962,17094
470,Franciscan Health Olympia & Chicago Heights,Olympia Fields,Illinois,IL,Same,27900,Same,1,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Church,Below,Below,Average,Higher,18872,23788,17313
471,Presence Mercy Medical Center,Aurora,Illinois,IL,Same,19300,Same,4,Average,Same,Same,Average,Average,Average,Lower,Average,Above,Church,Above,Above,Average,Average,18573,24320,16524
472,Presence Saints Mary And Elizabeth Medical Center,Chicago,Illinois,IL,Same,24744,Above,5,Average,Same,Same,Average,Average,Better,Higher,Average,Below,Church,Above,Above,Average,Average,18346,22193,15850
473,Advocate Illinois Masonic Medical Center,Chicago,Illinois,IL,Same,26205,Same,3,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Church,Below,Above,Average,Higher,19765,24136,16802
474,Heartland Regional Medical Center,Marion,Illinois,IL,Above,21825,Same,3,Average,Same,Same,Average,Average,Average,Average,Average,Same,Proprietary,Below,Above,Average,Average,17799,23873,16492
475,Memorial Hospital,Belleville,Illinois,IL,Same,22287,Same,2,Average,Same,Above,Average,Average,Better,Average,Worse,Same,Private,Below,Below,Lower,Higher,19041,21806,16197
476,Riverside Medical Center,Kankakee,Illinois,IL,Same,20483,Above,4,Higher,Above,Above,Average,Average,Average,Lower,Better,Same,Private,Above,Below,Average,Higher,18624,25712,19680
477,Hshs St Elizabeth's Hospital,O Fallon,Illinois,IL,Same,22825,Same,3,Higher,Same,Same,Average,Average,Average,Average,Average,Same,Church,Below,Below,Higher,Average,17327,26062,18043
478,Sarah Bush Lincoln Health Center,Mattoon,Illinois,IL,Same,21601,Same,3,Average,Same,Above,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Lower,16440,23528,15711
479,Ingalls Memorial Hospital,Harvey,Illinois,IL,Same,21915,Above,3,Lower,Below,Below,Average,Average,Better,Average,Average,Same,Private,Below,Below,Lower,Average,17593,21875,15459
480,Elmhurst Memorial Hospital,Elmhurst,Illinois,IL,Same,22798,Above,4,Average,Same,Above,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Above,Higher,Higher,18195,26785,17114
481,Advocate Condell Medical Center,Libertyville,Illinois,IL,Same,23337,Same,4,Higher,Same,Same,Average,Average,Average,Higher,Average,Above,Private,Above,Above,Average,Average,17596,23199,18362
